"|","|__name","|__description"
"10","Cranes and Rails","The Gruiformes are an order containing a considerable number of living and extinct bird families, with a widespread geographical diversity. Gruiform means (crane-like). aditionally, a number of wading and terrestrial bird families that did not seem to belong to any other order were classified together as Gruiformes. These include 15 species of large cranes, about 145 species of smaller crakes and rails, as well as a variety of families comprising one to three species, such as the Heliornithidae, the limpkin, or the Psophiidae. Other birds have been placed in this order more out of necessity to place them somewhere; this has caused the expanded Gruiformes to lack distinctive apomorphies. Recent studies indicate that these (odd Gruiformes) are if at all only loosely related to the cranes, rails, and relatives (core Gruiformes)."
"11","Plovers, Sandpipers, and Allies","Scolopacidae is a large family of shorebirds, or waders, which mainly includes many species known as sandpipers, but also others such as woodcocks, curlews and snipes. Most of these species eat small invertebrates picked out of the mud or soil. Different lengths of bills enable multiple species to feed in the same habitat, particularly on the coast, without direct competition for food. Sandpipers have long bodies and legs, and narrow wings. Most species have a narrow bill, but the form and length are variable. They are small to medium-sized birds, measuring 12 to 66 cm (4.7–26.0 in) in length. The bills are sensitive, allowing the birds to feel the mud and sand as they probe for food. They generally have dull plumage, with cryptic brown, grey, or streaked patterns, although some display brighter colours during the breeding season. Most species nest in open areas and defend their territories with aerial displays. The nest itself is a simple scrape in the ground, in which the bird typically lays three or four eggs. The young of most species are precocial."
"12","Skuas and Alcids","Skuas alcids are birds of the family Alcidae in the order Charadriiformes. The alcid family includes the murres, guillemots, auklets, puffins, and murrelets. The family contains 25 extant or recently extinct species that are divided into 11 genera. Auks are found throughout the Northern Hemisphere. Apart from the extinct great auk, all auks can fly, and are excellent swimmers and divers (appearing to fly in water), but their walking appears clumsy."
"13","Gulls, Terns, and Allies","Laridae is a family of seabirds in the order Charadriiformes that includes the gulls, terns (including white terns), noddies, and skimmers. It includes around 100 species arranged into 22 genera. They are an adaptable group of mostly aerial birds found worldwide."
"14","Pigeons and Doves","Columbidae is a bird family consisting of doves and pigeons. It is the only family in the order Columbiformes. These are stout-bodied birds with short necks and short slender bills that in some species feature fleshy ceres. They feed largely on plant matter, feeding on seeds (granivory), fruit (frugivory), and foliage (folivory). The family occurs worldwide, often in close proximity with humans, but the greatest diversity is in the Indomalayan and Australasian realms."
"15","Parrots","Parrots (Psittaciformes), also known as psittacines (), are birds with a strong curved beak, upright stance, and clawed feet. They are classified in four families that contain roughly 410 species in 101 genera, found mostly in tropical and subtropical regions. The four families are the Psittaculidae (Old World parrots), Psittacidae (African and New World parrots), Cacatuoidea (cockatoos), and Strigopidae (New Zealand parrots). One-third of all parrot species are threatened by extinction, with a higher aggregate extinction risk (IUCN Red List Index) than any other comparable bird group. Parrots have a generally pantropical distribution with several species inhabiting temperate regions as well. The greatest diversity of parrots is in South America and Australasia.\nParrots—along with ravens, crows, jays, and magpies—are among the most intelligent birds, and the ability of some species to imitate human speech enhances their popularity as pets. They form the most variably sized bird order in terms of length; many are vividly coloured and some, multi-coloured. Most parrots exhibit little or no sexual dimorphism in the visual spectrum.\nThe most important components of most parrots' diets are seeds, nuts, fruit, buds, and other plant material. A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits. Almost all parrots nest in tree hollows (or nest boxes in captivity), and lay white eggs from which hatch altricial (helpless) young.\nTrapping wild parrots for the pet trade, as well as hunting, habitat loss, and competition from invasive species, has diminished wild populations, with parrots being subjected to more exploitation than any other group of wild birds. As of 2021, about 50 million parrots (half of all parrots) live in captivity, with the vast majority of these living as pets in people's homes. Measures taken to conserve the habitats of some high-profile charismatic species have also protected many of the less charismatic species living in the same ecosystems.\nParrots are the only creatures that display true tripedalism, using their necks and beaks as limbs with propulsive forces equal to or greater than those forces generated by the forelimbs of primates when climbing vertical surfaces. They can travel with cyclical tripedal gaits when climbing."
"16","Cuckoos","Cuckoos are birds in the Cuculidae ( kew-KEW-lih-dee) family, the sole taxon in the order Cuculiformes ( kew-KEW-lih-for-meez). The cuckoo family includes the common or European cuckoo, roadrunners, koels, malkohas, couas, coucals, and anis. The coucals and anis are sometimes separated as distinct families, the Centropodidae and Crotophagidae, respectively. The cuckoo order Cuculiformes is one of three that make up the Otidimorphae, the other two being the turacos and the bustards. The family Cuculidae contains 150 species, which are divided into 33 genera.\nThe cuckoos are generally medium-sized, slender birds. Most species live in trees, though a sizeable minority are ground-dwelling. The family has a cosmopolitan distribution; the majority of species are tropical. Some species are migratory. The cuckoos feed on insects, insect larvae, and a variety of other animals, as well as fruit. Some species are brood parasites, laying their eggs in the nests of other species and giving rise to the terms ""cuckoo's egg"" and ""cuckold"" as metaphors, but most species raise their own young.\nCuckoos have played a role in human culture for thousands of years, appearing in Greek mythology as sacred to the goddess Hera. In Europe, the cuckoo is associated with spring, and with cuckoldry, for example in Shakespeare's Love's Labour's Lost. In India, cuckoos are sacred to Kamadeva, the god of desire and longing, whereas in Japan, the cuckoo symbolises unrequited love."
"17","Owls","Owls are birds from the order Strigiformes (), which includes over 200 species of mostly solitary and nocturnal birds of prey typified by an upright stance, a large, broad head, binocular vision, binaural hearing, sharp talons, and feathers adapted for silent flight. Exceptions include the diurnal northern hawk-owl and the gregarious burrowing owl.\nOwls are divided into two families: the true (or typical) owl family, Strigidae, and the barn owl and bay owl family, Tytonidae. Owls hunt mostly small mammals, insects, and other birds, although a few species specialize in hunting fish. They are found in all regions of the Earth except the polar ice caps and some remote islands.\nA group of owls is called a ""parliament""."
"18","Nightjars","Nightjars are medium-sized nocturnal or crepuscular birds in the family Caprimulgidae  and order Caprimulgiformes, characterised by long wings, short legs, and very short bills. They are sometimes called bugeaters, their primary source of food being insects. Some New World species are called nighthawks. The English word nightjar originally referred to the European nightjar.\nNightjars are found all around the world, with the exception of Antarctica, and certain island groups such as the Seychelles. They can be found in a variety of habitats, most commonly the open country with some vegetation. They usually nest on the ground, with a habit of resting and roosting on roads.\nThe subfamilies of nightjars have similar characteristics, including small feet, of little use for walking, and long, pointed wings. Typical nightjars have rictal bristles, longer bills, and softer plumage. The colour of their plumage and their unusual perching habits help conceal them during the day."
"19","Swifts and Hummingbirds","The Apodiformes is an order, or taxonomic grouping, of birds which traditionally contained three living families—the Apodidae (swifts), the Hemiprocnidae (treeswifts), and the Trochilidae (hummingbirds); however, in the Sibley-Ahlquist taxonomy, this order is elevated to the superorder Apodimorphae, in which hummingbirds are separated into a new order, the Trochiliformes. With nearly 450 species identified to date, it is the most diverse order of birds after the Passeriformes (the perching birds)."
"20","Kingfishers and Allies","Kingfishers are a family, the Alcedinidae, of small to medium-sized, brightly coloured birds in the order Coraciiformes. They have a cosmopolitan distribution, with most species living in the tropical regions of Africa, Asia, and Oceania, but also can be found in Europe and the Americas. They can be found in deep forests near calm ponds and small rivers. The family contains 118 species and is divided into three subfamilies and 19 genera. All kingfishers have large heads, long, sharp, pointed bills, short legs, and stubby tails. Most species have bright plumage with only small differences between the sexes. Most species are tropical in distribution, and a slight majority are found only in forests. They consume a wide range of prey, usually caught by swooping down from a perch. While kingfishers are usually thought to live near rivers and eat fish, many species live away from water and eat small invertebrates. Like other members of their order, they nest in cavities, usually tunnels dug into the natural or artificial banks in the ground. Some kingfishers nest in arboreal termite nests. A few species, principally insular forms, are threatened with extinction. In Britain, the word kingfisher normally refers to the common kingfisher."
"21","Woodpeckers","Woodpeckers are part of the bird family Picidae, which also includes the piculets, wrynecks and sapsuckers. Members of this family are found worldwide, except for Australia, New Guinea, New Zealand, Madagascar and the extreme polar regions. Most species live in forests or woodland habitats, although a few species are known that live in treeless areas, such as rocky hillsides and deserts, and the Gila woodpecker specialises in exploiting cacti.\nMembers of this family are chiefly known for their characteristic behaviour. They mostly forage for insect prey on the trunks and branches of trees, and often communicate by drumming with their beaks, producing a reverberatory sound that can be heard at some distance. Some species vary their diet with fruits, birds' eggs, small animals, tree sap, human scraps, and carrion. They usually nest and roost in holes that they excavate in tree trunks, and their abandoned holes are of importance to other cavity-nesting birds. They sometimes come into conflict with humans when they make holes in buildings or feed on fruit crops, but perform a useful service by their removal of insect pests on trees.\nThe Picidae are one of nine living families in the order Piciformes, the others being barbets (comprising three families), toucans, toucan-barbets, and honeyguides, which (along with woodpeckers) comprise the clade Pici, and the jacamars and puffbirds in the clade Galbuli. DNA sequencing has confirmed the sister relationships of these two groups. The family Picidae includes about 240 species arranged in 35 genera. Almost 20 species are threatened with extinction due to loss of habitat or habitat fragmentation, with one, the Bermuda flicker, being extinct and a further two possibly being so."
"22","Perching Birds","A passerine is any bird of the order Passeriformes; from Latin passer 'sparrow' and formis '-shaped') which includes more than half of all bird species. Sometimes known as perching birds, passerines generally have an anisodactyl arrangement of their toes (three pointing forward and one back), which facilitates perching."
"23","Black-bellied Plover","The grey plover or black-bellied plover (Pluvialis squatarola) is a large plover breeding in Arctic regions. It is a long-distance migrant, with a nearly worldwide coastal distribution when not breeding."
"24","Black-bellied Whistling-Duck","The black-bellied whistling duck (Dendrocygna autumnalis), formerly called the black-bellied tree duck, is a whistling duck that before 2000 bred mainly in the southernmost United States, Mexico, and tropical Central to south-central South America. It can be found year-round in much of the United States. It has been recorded in every eastern state and adjacent Canadian province. Since it is one of only two whistling duck species native to North America, it is occasionally just known as the ""whistling duck"" or ""Mexican squealer"" in the southern USA."
"25","Tyrant Flycatchers","The tyrant flycatchers (Tyrannidae) comprise a family of passerine birds which is found virtually throughout North and South America. It is the world's largest family of birds, with more than 400 species, and is the most diverse avian family in every country in the Americas, except for the United States and Canada. The members vary greatly in shape, patterns, size, and colors. Some tyrant flycatchers may superficially resemble the Old World flycatchers, which they are named after but are not closely related to. The Tyrannidae is a member of suborder Tyranni (suboscines), a group that lacks the sophisticated vocal capabilities of most other songbirds."
"26","Semipalmated Plover","The semipalmated plover (Charadrius semipalmatus) is a small plover. Charadrius is a Late Latin word for a yellowish bird mentioned in the fourth-century Vulgate. It derives from Ancient Greek kharadrios a bird found in ravines and river valleys (kharadra, ""ravine""). The specific semipalmatus is  Latin and comes from  semi, ""half"" and palma, ""palm"". Like the English name, this refers to its only partially webbed feet."
"27","Greater White-fronted Goose","The greater white-fronted goose (Anser albifrons) is a species of goose, closely related to the smaller lesser white-fronted goose (A. erythropus). The greater white-fronted goose is migratory, breeding in northern Canada, Alaska, Greenland and Russia, and winters farther south in North America, Europe and Asia. It is named for the patch of white feathers bordering the base of its bill:  albifrons comes from the Latin albus ""white"" and frons ""forehead"".  In the United Kingdom and Ireland, it has been known as the white-fronted goose; in North America it is known as the greater white-fronted goose (or ""greater whitefront""), and this name is also increasingly adopted internationally. Even more distinctive are the salt-and-pepper markings on the breast of adult birds, which is why the goose is colloquially called the ""specklebelly"" in North America."
"28","Black Vulture","The black vulture (Coragyps atratus), also known as the American black vulture, Mexican vulture, zopilote, urubu, or gallinazo, is a bird in the New World vulture family whose range extends from the southeastern United States to Peru, Central Chile and Uruguay in South America. Although a common and widespread species, it has a somewhat more restricted distribution than its compatriot, the turkey vulture, which breeds well into Canada and all the way south to Tierra del Fuego. It is the only extant member of the genus Coragyps, which is in the family Cathartidae. Despite the similar name and appearance, this species is not closely related to the Eurasian black vulture, an Old World vulture, of the family Accipitridae (which includes raptors like the eagles, hawks, kites, and harriers). For ease of locating animal corpses (their primary source of sustenance), black vultures tend to inhabit relatively open areas with scattered trees, such as chaparral, in addition to subtropical forested areas and parts of the Brazilian pantanal.\nWith a wingspan of 1.5 m (4.9 ft), the black vulture is an imposing bird, though relatively small for a vulture, let alone a raptor. It has black plumage, a featherless, grayish-black head and neck, and a short, hooked beak. These features are all evolutionary adaptations to life as a scavenger; their black plumage stays visibly cleaner than that of a lighter-colored bird, the bare head is designed for easily digging inside animal carcasses, and the hooked beak is built for stripping the bodies clean of meat. The absence of head feathers helps the birds stay clean and remain (more or less) free of animal blood and bodily fluids, which could become problematic for the vultures and attract parasites; most vultures are known to bathe after eating, provided there is a water source. This water source can be natural or man-made, such as a stream or a livestock water tank.\nThe black vulture is a scavenger and feeds on carrion, but will also eat eggs, small reptiles, or small newborn animals (livestock such as cattle, or deer, rodents, rabbits, etc.), albeit very rarely. They will also opportunistically prey on extremely weakened, sick, elderly, or otherwise vulnerable animals. In areas populated by humans, it also scavenges at dumpster sites and garbage dumps. It finds its meals by using its keen eyesight or following other (New World) vultures, which all possess a keen sense of smell. Lacking a syrinx—the vocal organ of birds—its only vocalizations are grunts or low hisses. It lays its eggs in caves, in cliffside rock crevasses, dead and hollow trees, or, in the absence of predators, on the bare ground, generally raising two chicks each year. The parents feed their young by regurgitation from their crop, an additional digestive organ unique to birds, used for storing excess food; their “infant formula”, of sorts, is thus called “crop milk”. In the United States, the vulture receives legal protection under the Migratory Bird Treaty Act of 1918. This vulture also appeared in Mayan codices."
"29","American White Pelican","The American white pelican (Pelecanus erythrorhynchos) is a large aquatic soaring bird from the order Pelecaniformes. It breeds in interior North America, moving south and to the coasts, as far as Costa Rica, in winter."
"30","Killdeer","The killdeer (Charadrius vociferus) is a large plover found in the Americas. It gets its name from its shrill, two-syllable call, which is often heard. It was described and given its current scientific name in 1758 by Carl Linnaeus in the 10th edition of his Systema Naturae. Three subspecies are described. Its upperparts are mostly brown with rufous fringes, the head has patches of white and black, and two black bands cross the breast. The belly and the rest of the breast are white. The nominate (or originally described) subspecies breeds from southeastern Alaska and southern Canada to Mexico. It is seen year-round in the southern half of its breeding range; the subspecies C. v. ternominatus is resident in the West Indies, and C. v. peruvianus inhabits Peru and surrounding South American countries throughout the year. North American breeders winter from their resident range south to Central America, the West Indies, and the northernmost portions of South America. Despite their name, they are not known for killing deer.\nThe nonbreeding habitat of the killdeer includes coastal wetlands, beach habitats, and coastal fields. Its breeding grounds are generally open fields with short vegetation (but locations such as rooftops are sometimes used); although it is a shorebird, it does not necessarily nest close to water. The nest itself is a scrape lined with vegetation and white material, such as pebbles or seashell fragments. This bird lays a clutch of four to six buff to beige eggs with dark markings. The breeding season (starting with egg-laying) occurs from mid-March to August, with later timing of egg-laying in the northern portion of the range. Both parents incubate the eggs for 22 to 28 days typically. The young stay in the nest until the day after being hatched, when they are led by their parents to a feeding territory (generally with dense vegetation where hiding spots are abundant), where the chicks feed themselves. The young then fledge about 31 days after hatching, and breeding first occurs after one year of age.\nThe killdeer primarily feeds on insects, although other invertebrates and seeds are eaten. It forages almost exclusively in fields, especially those with short vegetation and with cattle and standing water. It primarily forages during the day, but in the nonbreeding season, when the moon is full or close to full, it forages at night, likely because of increased insect abundance and reduced predation during the night. Predators of the killdeer include various birds and mammals. Its multiple responses to predation range from calling to the ""ungulate display"", which can be fatal for the performing individual. The killdeer was formerly considered a least-concern species by the IUCN due to its large range and population, but is now considered a near-threatened species due to its population decline, though the decline is not rapid enough to warrant uplisting the killdeer to a vulnerable species. It is protected by the American Migratory Bird Treaty Act of 1918 and the Canadian Migratory Birds Convention Act."
"31","Red-headed Woodpecker","The red-headed woodpecker (Melanerpes erythrocephalus) is a mid-sized woodpecker found in temperate North America. Its breeding habitat is open country across southern Canada and the east-central United States. It is rated as least concern on the International Union for Conservation of Nature (IUCN)'s Red List of Endangered species, having been down-listed from near threatened in 2018.\nThe red-headed woodpecker should not be confused with the red-bellied woodpecker, which is similar in size but has a vibrant orange-red crown and nape; the red-bellied woodpecker is named for the pale reddish blush of its lower belly and has a distinctly patterned black and white back rather than the solid black one of the red-headed woodpecker."
"32","Shrikes","Shrikes () are passerine birds of the family Laniidae. The family is composed of 34 species in two genera.\nThe family name, and that of the larger genus, Lanius, is derived from the Latin word for ""butcher"", and some shrikes are also known as butcherbirds because of the habit, particularly of males, of impaling prey onto plant spines within their territories. These larders have multiple functions, attracting females and serving as food stores. \nThe common English name shrike is from Old English scrīc, alluding to the shrike's shriek-like call."
"33","Snow Goose","The snow goose (Anser caerulescens) is a species of goose native to North America. Both white and dark morphs exist, the latter often known as blue goose. Its name derives from the typically white plumage. The species was previously placed in the genus Chen, but is now typically included in the ""gray goose"" genus Anser.\nSnow geese breed north of the timberline in Greenland, Canada, Alaska, and the northeastern tip of Siberia, and spend winters in warm parts of North America from southwestern British Columbia through parts of the United States to Mexico."
"34","Chimney Swift","The chimney swift (Chaetura pelagica) is a bird belonging to the swift family Apodidae. A member of the genus Chaetura, it is closely related to both Vaux's swift and Chapman's swift; in the past, the three were sometimes considered to be conspecific. It has no subspecies. The chimney swift is a medium-sized, sooty gray bird with very long, slender wings and very short legs. Like all swifts, it is incapable of perching on flat surfaces, and can only perch on vertical surfaces. Many fly around all day and only come down at night when roosting.\nThe chimney swift feeds primarily on flying insects, but also on airborne spiders. It generally mates for life. It builds a bracket nest of twigs and saliva stuck to a vertical surface, which is almost always a human-built structure, typically a chimney; historically (before European colonists built chimneys), they nested in hollow trees (including old pileated woodpecker nest holes), a few still do so, though only rarely. The female lays 4–5 white eggs. The altricial young hatch after 19 days and fledge a month later. The average chimney swift lives 4.6 years."
"35","American Oystercatcher","The American oystercatcher (Haematopus palliatus), occasionally called the American pied oystercatcher, is a member of family Haematopodidae. Originally called the ""sea pie"", it was renamed in 1731 when naturalist Mark Catesby claimed that he had observed the bird eating oysters. The current population of American oystercatchers is estimated to be 43,000. There are estimated to be 1,500 breeding pairs along the Atlantic and Gulf Coasts of the US. The bird is marked by its black and white body and a long, thick orange beak."
"36","Ross's Goose","Ross's goose (Anser rossii), formerly Chen rossii, is a white goose with black wingtips and a relatively short neck. It is the smallest of the three white geese that breed in North America. It is similar in appearance to a white-phase snow goose, but about 40% smaller. Other differences from the snow goose are that the bill is smaller in proportion to its body and lacks ""black lips"". Like snow geese, Ross's geese may exhibit a darker ""blue"" phase or morph, though this is extremely rare (<0.01% of adult birds).\nBefore the early 1900s, this goose was considered a rare species, possibly as a consequence of open hunting, but numbers have increased dramatically as a result of conservation measures. It is now listed as a species of Least Concern by the IUCN, and is protected by the Migratory Bird Treaty Act.\nRoss's goose is named in honor of Bernard R. Ross (1827–1874), who was associated with the Hudson's Bay Company in Canada's Northwest Territories. Members of the Hudson's Bay Company were the first Europeans to discover the arctic nesting grounds of Ross's geese in 1940. The first recognizable description of Ross's geese, under the name ""horned wavey"", was given by explorer Samuel Hearne eighty years before John Cassin named it after Ross."
"37","Barn Owl","The barn owls (Tyto species, particularly Tyto alba) are the most widely distributed group of owls in the world. They are medium-sized owls with large heads and characteristic heart-shaped faces. They have long, strong legs with powerful talons. The term may be used to describe:\n\nThe whole family Tytonidae, though this also includes the bay owls in the genus Phodilus\nTyto, the largest genus of birds in Tytonidae, and particularly these species in that genus:\nThree species that are sometimes considered to be a single species known as barn owl or common barn owl:\nWestern barn owl Tyto alba, from Europe, Africa, and the Middle East\nAmerican barn owl Tyto furcata, from the Americas\nEastern barn owl Tyto javanica, from southeast Asia and Australasia\nAndaman masked owl Tyto deroepstorffi endemic to the southern Andaman Islands\nNew Caledonian barn owl Tyto letocarti, extinct, from the island of New Caledonia in Melanesia"
